category_name,video_count,total_likes,total_comments,total_views,avg_engagement_rate
Autos & Vehicles,353,4732114.0,1016188.0,200066074.0,3.875078578092205
Comedy,3773,196046674.0,19638776.0,3708438785.0,5.801993638528478
Education,991,20972402.0,2968416.0,531773343.0,5.074711923804497
Entertainment,13451,387245433.0,55313036.0,13671215509.0,3.1494890445638664
Film & Animation,2060,77802003.0,10086573.0,2939060844.0,3.4223907565074283
Gaming,1344,51726552.0,9664887.0,1241532385.0,5.81405971630864
Howto & Style,2007,51183104.0,8342917.0,1570846611.0,5.761934039850543
Movies,6,252905.0,13979.0,17120490.0,2.2347776411275215
Music,3731,564447530.0,52435252.0,13179850194.0,5.302651746248369
News & Politics,4159,32705054.0,9259788.0,1614610043.0,3.076990855635722
People & Blogs,4105,105388564.0,16818201.0,3228227926.0,3.628541106171664
Pets & Animals,369,8830736.0,1823538.0,235592173.0,5.536512805233519
Science & Technology,1155,42814598.0,7209219.0,1425090421.0,4.830710706758472
Shows,124,589263.0,77243.0,71549508.0,0.9929141707686775
Sports,2787,59449419.0,7661342.0,2997652188.0,1.9461119551018966
Travel & Events,392,3750914.0,609953.0,143746952.0,3.834693141894512
