category_name,avg_like_dislike_ratio,avg_views
Music,52.382317448788534,3532524.8442776734
Movies,25.098647636127055,2853415.0
Film & Animation,44.5281533672665,1426728.5650485437
Science & Technology,40.67733322089051,1233844.5203463202
Sports,30.002492770533358,1075583.8493003228
Entertainment,40.194527848860744,1016371.6830718906
Comedy,60.60509086074927,982888.6257619931
Gaming,72.2717355754843,923759.2150297619
People & Blogs,45.805529766347355,786413.6238733252
Howto & Style,67.44578585919011,782683.9118086697
Pets & Animals,75.13422278776747,638461.1734417344
Shows,8.818276303904062,577012.1612903225
Autos & Vehicles,47.76697028194019,566759.4164305949
Education,50.68431747571591,536602.7679112008
News & Politics,19.984655359526066,388220.7364751142
Travel & Events,44.41647310006402,366701.4081632653
