channel_title,trending_count,unique_categories,common_category,avg_tags_per_video,category_consistency
SET India,192,1,Entertainment,32.203125,0.9947916666666666
MSNBC,189,1,News & Politics,30.883597883597883,0.9947089947089947
FBE,188,1,Entertainment,29.96808510638298,0.9946808510638298
The Young Turks,186,1,News & Politics,30.376344086021504,0.9946236559139785
REACT,183,2,Entertainment,26.103825136612024,0.9890710382513661
VikatanTV,182,2,Shows,14.807692307692308,0.989010989010989
CNN,180,1,News & Politics,8.533333333333333,0.9944444444444445
The Late Show with Stephen Colbert,172,2,Entertainment,27.08139534883721,0.9883720930232558
RadaanMedia,168,1,Entertainment,13.69047619047619,0.9940476190476191
ARY Digital,168,1,Entertainment,12.422619047619047,0.9940476190476191
Philip DeFranco,167,2,Entertainment,33.137724550898206,0.9880239520958084
MLG Highlights,165,1,Sports,21.89090909090909,0.9939393939393939
Comment Awards,163,2,Comedy,31.32515337423313,0.9877300613496932
BuzzFeedVideo,160,1,People & Blogs,31.56875,0.99375
Good Mythical Morning,157,1,Entertainment,22.331210191082803,0.9936305732484076
CollegeHumor,153,1,Comedy,29.359477124183005,0.9934640522875817
TheEllenShow,150,1,Entertainment,30.64,0.9933333333333333
The View,149,3,News & Politics,7.6375838926174495,0.9798657718120806
Breakfast Club Power 105.1 FM,149,1,Entertainment,11.78523489932886,0.9932885906040269
Late Night with Seth Meyers,148,1,Comedy,35.37162162162162,0.9932432432432432
NHL,145,1,Sports,8.26896551724138,0.993103448275862
Jimmy Kimmel Live,144,2,Entertainment,27.993055555555557,0.9861111111111112
SAB TV,144,2,Entertainment,29.84722222222222,0.9861111111111112
BuzzFeedBlue,143,1,People & Blogs,37.25174825174825,0.993006993006993
ESPN,141,1,Sports,25.95744680851064,0.9929078014184397
Team Edge,139,1,Comedy,21.028776978417266,0.9928057553956835
CinemaSins,138,1,Film & Animation,10.391304347826088,0.9927536231884058
The Tonight Show Starring Jimmy Fallon,137,1,Comedy,36.2992700729927,0.9927007299270073
The Real Daytime,133,1,Entertainment,7.969924812030075,0.9924812030075187
Vox,133,1,News & Politics,26.330827067669173,0.9924812030075187
Daily Dose Of Internet,131,1,Entertainment,4.0,0.9923664122137404
Linus Tech Tips,128,2,Science & Technology,14.1875,0.984375
Kitchen Nightmares,127,1,Entertainment,22.511811023622048,0.9921259842519685
Troom Troom,126,1,Howto & Style,23.0,0.9920634920634921
HUM TV,123,1,Entertainment,19.739837398373982,0.991869918699187
Strictly Dumpling,122,1,Travel & Events,29.672131147540984,0.9918032786885246
PowerfulJRE,122,1,People & Blogs,17.098360655737704,0.9918032786885246
Good Mythical MORE,121,1,Entertainment,15.694214876033058,0.9917355371900827
Cow Chop,120,3,Gaming,21.283333333333335,0.975
Eat Bulaga!,120,1,Entertainment,1.075,0.9916666666666667
Comedy Central UK,120,1,Comedy,26.008333333333333,0.9916666666666667
First We Feast,118,1,Howto & Style,30.406779661016948,0.9915254237288136
大劇獨播,116,1,Film & Animation,27.20689655172414,0.9913793103448276
secureteam10,116,1,Science & Technology,19.603448275862068,0.9913793103448276
Binging with Babish,115,1,Entertainment,24.57391304347826,0.991304347826087
Speed Records,115,1,Music,24.182608695652174,0.991304347826087
PewDiePie,115,8,Comedy,3.417391304347826,0.9304347826086956
Tasty,114,2,Howto & Style,15.964912280701755,0.9824561403508771
Elhiwar Ettounsi,113,1,Entertainment,33.51327433628319,0.9911504424778761
CrazyRussianHacker,112,1,Science & Technology,12.428571428571429,0.9910714285714286
WWE,111,1,Sports,31.207207207207208,0.990990990990991
Skip and Shannon: UNDISPUTED,110,2,Sports,38.763636363636365,0.9818181818181818
ABS-CBN Entertainment,110,1,Entertainment,25.40909090909091,0.990909090909091
湖南卫视芒果TV官方频道 China HunanTV Official Channel,109,1,Entertainment,51.4954128440367,0.9908256880733946
Lama Faché,108,1,Entertainment,27.12037037037037,0.9907407407407407
The Late Late Show with James Corden,107,2,Entertainment,25.49532710280374,0.9813084112149533
Rooster Teeth,106,2,Film & Animation,41.93396226415094,0.9811320754716981
Rapid Highlights,106,1,Sports,8.018867924528301,0.9905660377358491
FailArmy,106,1,Comedy,29.80188679245283,0.9905660377358491
The King of Random,105,2,Education,38.55238095238095,0.9809523809523809
Unbox Therapy,104,2,Science & Technology,43.14423076923077,0.9807692307692307
Doug DeMuro,104,1,Autos & Vehicles,14.317307692307692,0.9903846153846154
Dr Nozman,104,1,Science & Technology,5.471153846153846,0.9903846153846154
Reaction Time,103,1,Entertainment,26.359223300970875,0.9902912621359223
SciShow,102,1,Education,26.69607843137255,0.9901960784313726
GameGrumps,101,1,Gaming,17.435643564356436,0.9900990099009901
DramaAlert,101,1,News & Politics,16.603960396039604,0.9900990099009901
TV Promos,99,1,Entertainment,22.262626262626263,0.98989898989899
SMG上海电视台官方频道 SMG Shanghai TV Official Channel,97,1,Entertainment,34.5360824742268,0.9896907216494846
Smosh,97,1,Comedy,20.103092783505154,0.9896907216494846
Mark Wiens,97,1,Travel & Events,22.175257731958762,0.9896907216494846
H3 Podcast,93,1,Entertainment,11.86021505376344,0.989247311827957
Raffy Tulfo in Action,92,1,News & Politics,16.347826086956523,0.9891304347826086
Brave Wilderness,91,1,Pets & Animals,38.120879120879124,0.989010989010989
CBC News,91,1,News & Politics,12.978021978021978,0.989010989010989
The Film Theorists,90,1,Film & Animation,25.266666666666666,0.9888888888888889
The Graham Norton Show,90,1,Entertainment,15.977777777777778,0.9888888888888889
