channel_title,trending_count,unique_videos,avg_views,avg_likes,most_common_category
SET India,192,152,159654.39583333334,867.5,Entertainment
MSNBC,189,152,247853.84126984127,2598.185185185185,News & Politics
FBE,188,89,1012627.6117021276,32671.893617021276,Entertainment
The Young Turks,186,147,144296.7634408602,3603.1989247311826,News & Politics
REACT,183,105,592648.8961748633,19044.196721311477,Entertainment
VikatanTV,182,158,633188.6318681319,3624.1098901098903,Shows
CNN,180,115,450384.5,4337.1611111111115,News & Politics
The Late Show with Stephen Colbert,172,104,1329257.3662790698,17922.75581395349,Entertainment
ARY Digital,168,132,369424.9404761905,2693.589285714286,Entertainment
RadaanMedia,168,148,360967.39285714284,1838.5416666666667,Entertainment
