category_name,video_count,total_likes,total_comments,total_views,avg_engagement_rate
Autos & Vehicles,384,4245656.0,784447.0,520690717.0,2.0393772235454026
Comedy,3457,216346746.0,22545582.0,5117426208.0,4.910212620813458
Education,1656,49257772.0,5442242.0,1180629990.0,4.226657729792478
Entertainment,9964,530516491.0,73566498.0,20604388195.0,3.242716613905482
Film & Animation,2345,165997476.0,17887060.0,7284156721.0,3.098059270086011
Gaming,817,69038284.0,14740713.0,2141218625.0,4.475865302324685
Howto & Style,4146,162880075.0,23149550.0,4078545064.0,5.088288639971905
Music,6472,1416838584.0,125296396.0,40132892190.0,5.142622152113133
News & Politics,2487,18151033.0,6039433.0,1473765704.0,1.9111641710157983
Nonprofits & Activism,57,14815646.0,4808797.0,168941392.0,4.520991118387644
People & Blogs,3210,186615999.0,24778032.0,4917191726.0,4.662410915270833
Pets & Animals,920,19370702.0,2660705.0,764651989.0,3.7485939431188133
Science & Technology,2401,82532638.0,11989926.0,3487756816.0,3.4747273847583067
Shows,57,1082639.0,95117.0,51501058.0,2.587274066869124
Sports,2174,98621211.0,11192155.0,4404456673.0,1.788520982374136
Travel & Events,402,4836246.0,911511.0,343557084.0,2.4376086456428934
