channel_title,trending_count,unique_videos,avg_views,avg_likes,most_common_category
ESPN,203,84,520464.12807881774,4619.325123152709,Sports
The Tonight Show Starring Jimmy Fallon,197,72,1377798.8984771573,30362.10152284264,Comedy
Netflix,193,58,962789.1968911918,21819.02590673575,Entertainment
TheEllenShow,193,74,1315243.518134715,31270.113989637306,Entertainment
Vox,193,47,635409.1347150259,16956.051813471502,News & Politics
The Late Show with Stephen Colbert,187,58,661367.0909090909,8083.882352941177,Entertainment
Jimmy Kimmel Live,186,70,1534509.4247311829,26045.037634408603,Entertainment
Late Night with Seth Meyers,183,37,992362.0,11468.92349726776,Comedy
Screen Junkies,182,25,1753162.3846153845,48551.23626373626,Film & Animation
NBA,181,55,400025.23756906076,4855.790055248619,Sports
